Name	Chr	Start	End	Strand
Sepp1	chr15	3218547	3230508	+
Ccdc152	chr15	3230627	3253526	-
Ghr	chr15	3267760	3533492	-
U6atac	chr15	3553272	3553397	-
7SK	chr15	3748912	3749181	+
Fbxo4	chr15	3915445	3929573	-
AW549877	chr15	3932036	3945752	-
Gm2093	chr15	3946039	3965858	+
BC037032	chr15	3971686	3977402	-
Oxct1	chr15	3976383	4105344	+
Gm15632	chr15	4019226	4022032	-
Plcxd3	chr15	4325491	4525553	+
C6	chr15	4677175	4765456	+
Heatr7b2	chr15	4848737	4912203	+
C7	chr15	4938762	5013740	-
U6	chr15	4985360	4985462	+
Gm16077	chr15	5042497	5043246	+
Card6	chr15	5045981	5058539	-
Rpl37	chr15	5066613	5069140	+
Snord72	chr15	5068404	5068484	+
Gm10250	chr15	5070653	5071135	-
Prkaa1	chr15	5093861	5131899	+
Gm15938	chr15	5125085	5135723	-
Ttc33	chr15	5135525	5168336	+
Ptger4	chr15	5156661	5194187	-
Gm15937	chr15	5158913	5160147	+
SNORA17	chr15	6101217	6101348	-
Dab2	chr15	6249788	6390712	+
Gm16311	chr15	6253244	6259913	-
Dab2	chr15	6279556	6287206	+
C9	chr15	6395327	6448751	+
7SK	chr15	6450697	6450972	+
Fyb	chr15	6529871	6613321	+
Gm2245	chr15	6554341	6604303	-
Gm7666	chr15	6603923	6604870	+
Rictor	chr15	6658381	6750398	+
Osmr	chr15	6763577	6824969	-
Lifr	chr15	7079559	7147489	+
Egflam	chr15	7156120	7348395	-
Gm16030	chr15	7291914	7292516	+
Gm16029	chr15	7347897	7361381	+
Gdnf	chr15	7761011	7787575	+
Wdr70	chr15	7823055	8049209	-
Nup155	chr15	8059313	8109857	+
2410089E03Rik	chr15	8119106	8221158	+
U6	chr15	8170004	8170114	+
Nipbl	chr15	8241225	8394463	-
Gm2348	chr15	8479135	8479434	-
Slc1a3	chr15	8584124	8660764	-
Ranbp3l	chr15	8918426	8996300	+
U7	chr15	8970227	8970287	+
1110020G09Rik	chr15	9001009	9040244	+
Skp2	chr15	9041742	9070207	-
Lmbrd2	chr15	9070377	9128074	+
Ugt3a1	chr15	9203074	9244787	+
Ugt3a2	chr15	9265305	9300710	+
Capsl	chr15	9365783	9395790	+
Il7r	chr15	9435916	9459631	-
Spef2	chr15	9507948	9678623	-
7SK	chr15	9981581	9981868	+
Prlr	chr15	10106993	10303504	+
Agxt2	chr15	10288287	10339908	+
Dnajc21	chr15	10376511	10400271	-
Brix1	chr15	10404534	10415702	-
Rad1	chr15	10415773	10428818	+
Ttc23l	chr15	10429857	10488423	-
Gm17044	chr15	10455897	10456636	-
Gm8174	chr15	10490280	10491280	-
Rai14	chr15	10498734	10644386	-
4930556M19Rik	chr15	10644591	10719878	+
4930556M19Rik	chr15	10646899	10652226	+
C1qtnf3	chr15	10882087	10909905	+
Amacr	chr15	10911511	10926379	+
Slc45a2	chr15	10930476	10958988	+
Rxfp3	chr15	10963472	10967723	-
Adamts12	chr15	10994545	11276622	+
SNORA17	chr15	11291366	11291492	-
Tars	chr15	11313418	11329413	-
Npr3	chr15	11769651	11835429	-
7SK	chr15	11895085	11895344	+
Sub1	chr15	11911094	11926738	-
Zfr	chr15	12047586	12115438	+
U6	chr15	12088088	12088196	-
Mir1898	chr15	12101247	12101329	+
Mtmr12	chr15	12134783	12201995	+
Golph3	chr15	12251205	12281346	+
Pdzd2	chr15	12286809	12669679	-
AC150660.1	chr15	12502185	12502285	-
Gm2606	chr15	12504573	12505825	+
AC135292.1	chr15	12624879	12624979	+
6030458C11Rik	chr15	12737932	12754412	-
Drosha	chr15	12754570	12865045	+
5S_rRNA	chr15	12910584	12910683	+
Cdh6	chr15	12963955	13103394	-
AC124226.1	chr15	14664808	14665033	-
AC165279.1	chr15	15179840	15179929	-
SNORA17	chr15	15748982	15749109	+
Cdh9	chr15	16707856	16786849	+
AC161111.1	chr15	17521321	17521436	-
7SK	chr15	17865333	17865640	+
U6	chr15	17939018	17939124	-
C030047K22Rik	chr15	18627949	18748527	-
Cdh10	chr15	18748702	18943991	+
SNORA17	chr15	20114587	20114716	+
Acot10	chr15	20594974	20596505	-
SNORA17	chr15	20838627	20838754	+
Cdh12	chr15	21041207	21519288	+
U6	chr15	21044124	21044230	+
Cdh18	chr15	22478777	23404173	+
Gm5803	chr15	22643623	22644585	-
Gm19840	chr15	22865242	22866996	+
SNORA17	chr15	23084489	23084620	+
U1	chr15	23576175	23576332	-
U1	chr15	24750300	24750457	-
Gm2824	chr15	24911375	24957113	-
9230109A22Rik	chr15	25067285	25078914	-
Basp1	chr15	25293040	25343519	-
Gm5468	chr15	25343947	25344599	+
Myo10	chr15	25552280	25743428	+
Gm2862	chr15	25611553	25611880	+
Fam134b	chr15	25773019	25903442	+
Zfp622	chr15	25914121	25928237	+
March11	chr15	26238803	26339331	+
Fbxl7	chr15	26472839	26825273	-
Gm6576	chr15	26955056	26956010	+
SNORA17	chr15	26991491	26991621	-
Ank	chr15	27396432	27524664	+
Fam105b	chr15	27535674	27560448	-
Fam105a	chr15	27584826	27611262	-
Trio	chr15	27660407	27955603	-
Dnahc5	chr15	28133507	28401800	+
Mir3964	chr15	29643086	29643159	-
SNORA17	chr15	29818096	29818229	-
SNORA17	chr15	29933817	29933889	-
SNORA17	chr15	29933941	29934018	-
AC122448.1	chr15	29968582	29968642	+
SNORA73	chr15	29982134	29982311	-
Ctnnd2	chr15	30102348	30959066	+
5S_rRNA	chr15	30520042	30520160	+
U7	chr15	30531269	30531331	+
U7	chr15	30531345	30531406	+
SNORA17	chr15	31123960	31124093	-
Dap	chr15	31154140	31204093	+
Fam136b-ps	chr15	31206246	31206662	+
Ankrd33b	chr15	31221234	31297514	-
Ropn1l	chr15	31370965	31383444	-
Gm6361	chr15	31376135	31376572	-
March6	chr15	31385654	31460792	-
Cmbl	chr15	31498546	31519874	+
Cct5	chr15	31520555	31531602	-
Fam173b	chr15	31531607	31550982	+
Tas2r119	chr15	32107044	32108051	+
0610007N19Rik	chr15	32170324	32174417	-
SNORD123	chr15	32171608	32171678	-
Sema5a	chr15	32174568	32626096	+
Sdc2	chr15	32850478	32964485	+
Pgcp	chr15	33012884	33524307	+
1700084J12Rik	chr15	33334727	33335731	-
5S_rRNA	chr15	33519361	33519491	-
Tspyl5	chr15	33613631	33617638	-
Mtdh	chr15	34012449	34072141	+
SNORA4	chr15	34069008	34069131	-
Laptm4b	chr15	34167781	34214050	+
SNORD88	chr15	34218574	34218626	-
Matn2	chr15	34236436	34366029	+
Rpl30	chr15	34370260	34373395	-
SNORA72	chr15	34370546	34370677	-
BC030476	chr15	34383067	34403647	+
Hrsp12	chr15	34413776	34425010	-
Pop1	chr15	34425059	34460403	+
U6	chr15	34461469	34461578	+
Nipal2	chr15	34502554	34608461	-
Kcns2	chr15	34767110	34772095	+
Stk3	chr15	34805251	35085561	-
Osr2	chr15	35225853	35233059	+
Vps13b	chr15	35301301	35860983	+
SNORA17	chr15	35417155	35417291	+
Mir599	chr15	35590586	35590673	-
Mir875	chr15	35590725	35590802	-
Cox6c	chr15	35855641	35868001	-
Rgs22	chr15	35939234	36070155	-
7SK	chr15	35958653	35958907	+
Gm18889	chr15	36049753	36050681	-
Fbxo43	chr15	36079815	36094639	-
U1	chr15	36099551	36099709	+
Polr2k	chr15	36103772	36106767	+
Spag1	chr15	36109123	36165365	+
U6	chr15	36135015	36135077	+
Rnf19a	chr15	36169689	36212902	-
